english,description,translation,status,translator_note,placeholders,entry_id,row_id,kind,previous_translation,source_locations,source_revision
MusicPlaybackIndicator mutes or enables sound while controls pulse from audio time; complete menu composition is not asserted.,User-facing product copy in the Chess UI sample.,MusicPlaybackIndicator mutes or enables sound while controls pulse from audio time; complete menu composition is not asserted.,translated,,,tx1_u4yahlmv6ax7uuiadj73oimkbe,row1_omgnbojt5silzg2ckix7kkbrli,message,,rules/src/pages.rs:189:30,rev1_2253a860fce1f5e9f78a22008cb35ac54cbcd86da49193143923675fc6b53a8a
ArcadeMenuTransition,User-facing product copy in the Chess UI sample.,ArcadeMenuTransition,translated,,,tx1_fejtnjre2yrbth5s4rfh7ou24a,row1_g4a665sdtq4kr7qh6mfdggeanu,message,,rules/src/pages.rs:193:24,rev1_699d9e938f5f1b0f4c1ca794347336107b445ac7d5e8c9a7de1f1e9890121175
ArcadeMenuTransition swaps keyed screens with beam and reveal effects; complete routed screens remain unasserted.,User-facing product copy in the Chess UI sample.,ArcadeMenuTransition swaps keyed screens with beam and reveal effects; complete routed screens remain unasserted.,translated,,,tx1_3pssbtkc6soncyi5bwfxperwri,row1_w3cio6wzn2kpxi3d2zga6zjx7u,message,,rules/src/pages.rs:194:30,rev1_c5b354c7f3de625eab40c276ef529ec681e155f4e40bd222e3287d8abb3cf8f2
ArcadeExitSequence,User-facing product copy in the Chess UI sample.,ArcadeExitSequence,translated,,,tx1_nlpcarjl5xqt6gupzggwthatza,row1_ammya4chfz7keaab2bkcbr5ezy,message,,rules/src/pages.rs:198:24,rev1_b89e22f2561fd68a532006c98f3ad18934f3d1f9ec2e1b574a00b51279f322ff
"ArcadeExitSequence and frame collapse synchronize dismissal; gameplay, quitting, and routed composition remain unasserted.",User-facing product copy in the Chess UI sample.,"ArcadeExitSequence and frame collapse synchronize dismissal; gameplay, quitting, and routed composition remain unasserted.",translated,,,tx1_xdu3nz347w7h727j3m75zofkjq,row1_ye46fhbbpkzqqlx672mitmkj3m,message,,rules/src/pages.rs:199:30,rev1_6fb6053a9ae30ad8fa34769954d0cbea973a1fb21d23f5e9b2a950db87274f6f
Gameplay and Graphics settings,User-facing product copy in the Chess UI sample.,Gameplay and Graphics settings,translated,,,tx1_ktrnogs6oqyci37lb7qheuvila,row1_xhqqerhkkt4fvk4n5hzpjqexeq,message,,rules/src/pages.rs:203:24,rev1_aecbe18d9659d6ba91e25dd2e3cd8ff3f78be759ef84324c2f87d2a3f1320b4d
Gameplay and Graphics settings compose matching controls and props; other tabs and final transitions remain unasserted.,User-facing product copy in the Chess UI sample.,Gameplay and Graphics settings compose matching controls and props; other tabs and final transitions remain unasserted.,translated,,,tx1_pya2knwl2xtsirbu2jdlvxa6hm,row1_byrl5s2hptt4l3y7voi5tyngkq,message,,rules/src/pages.rs:204:30,rev1_98d7f5d56f5b418e60abfa796d74bbfe737c29f85d400eaf6c31d523772c29cf
SoundSettings,User-facing product copy in the Chess UI sample.,SoundSettings,translated,,,tx1_ntush7ym4sgnyhh6fdjyhfrzum,row1_afqxa53ldt6k35tlbogs3mpspy,message,,rules/src/pages.rs:208:24,rev1_f8d6e7c227131a361b1af6839900756c651c0b18e04b5e0ab7590cf5833dc327
SoundSettings composes three sliders and background mute against shared audio state; Input settings remain unasserted.,User-facing product copy in the Chess UI sample.,SoundSettings composes three sliders and background mute against shared audio state; Input settings remain unasserted.,translated,,,tx1_lgsinvxhycnmrzmasv35xpgtei,row1_m5gx2m3rs3youeewnwpezn2enu,message,,rules/src/pages.rs:209:30,rev1_d472ecbf4e3b041e6062461e7d9806a0b989fae61a145ebb950d9bd2abd1aed8
InputSettings composition,User-facing product copy in the Chess UI sample.,InputSettings composition,translated,,,tx1_cnem2zakalrwqglanb2jzhv4tm,row1_mmricfweyfdg6eqy7jgp36cchq,message,,rules/src/pages.rs:213:24,rev1_8136fa71e7b2a99be23db8b03f215b8f1d10a8bf335fcfeff52bb13386cfca02
"InputSettings composes bindings, icons, scrolling, rebinding, and its modal; cross-tab integration is not asserted.",User-facing product copy in the Chess UI sample.,"InputSettings composes bindings, icons, scrolling, rebinding, and its modal; cross-tab integration is not asserted.",translated,,,tx1_dw5wt7hh6zp2hz3f5cgalj2mva,row1_e7yfijvs3yhcc2whbozhpcw4va,message,,rules/src/pages.rs:214:30,rev1_af08cb2f7b40c823e352700faddd04acffce0c1c0b662b20dbf0194458797bf9
SettingsScreen,User-facing product copy in the Chess UI sample.,SettingsScreen,translated,,,tx1_rmzwxbztdhu7z2ith5dyrnusb4,row1_l2uq36v2odmaujt3bkip7j2qbu,message,,rules/src/pages.rs:218:24,rev1_de5336f8237485666e5c5616527eb0acb9f018556bf10ad2aa0ad63811ec49e0
"SettingsScreen composes tabs, panels, Return, and both dialogs; main menu and route transition remain unasserted.",User-facing product copy in the Chess UI sample.,"SettingsScreen composes tabs, panels, Return, and both dialogs; main menu and route transition remain unasserted.",translated,,,tx1_nwtjwgl2wo2dp36rimkrhwjcru,row1_3ejsh3q7v7y7toowz6csopsqbu,message,,rules/src/pages.rs:219:30,rev1_a3ff70343890ce8d837ea48649bb0d1e682b78b8691fedfde8570d32c04d3e28
MainMenu,User-facing product copy in the Chess UI sample.,MainMenu,translated,,,tx1_vi5soyzovgmk3fvi6a6xctmsoy,row1_zj544r3dc7yqoq4bnisa7v57li,message,,rules/src/pages.rs:223:24,rev1_b94a6c207fbaf07178a7824ef3fafee18086bf0ef5b7825ff6488fb7d5f6c281
"MainMenu composes background, header, buttons, music, and exit behavior; the complete router remains unasserted.",User-facing product copy in the Chess UI sample.,"MainMenu composes background, header, buttons, music, and exit behavior; the complete router remains unasserted.",translated,,,tx1_mzqdjgedfrosvmizdj3f4efm7a,row1_vziqtshj4sd5tdren2iqhhrcvq,message,,rules/src/pages.rs:224:30,rev1_2cfa389ed19d1219a691033a25ac7cd6a79ff6918b1a6e83d579965d53bf213e
ArcadeScreenRouter,User-facing product copy in the Chess UI sample.,ArcadeScreenRouter,translated,,,tx1_d5dtoyc27cedjcawgusk7zq5v4,row1_4of7q3eymwqf5wnrqxdz2uzff4,message,,rules/src/pages.rs:228:24,rev1_26c631885c30db441f452403a166a7cb10018d31c28a91382b9dfad17645c9f6
ArcadeScreenRouter composes every accessible mockup behavior; no player-visible behavior remains outside this page's scope.,User-facing product copy in the Chess UI sample.,ArcadeScreenRouter composes every accessible mockup behavior; no player-visible behavior remains outside this page's scope.,translated,,,tx1_dht5du7djs4p6hzxrbkasu4tsm,row1_vpwuk6v6utnz5h7rabqq73dybu,message,,rules/src/pages.rs:229:30,rev1_9734d9807809985425172fa67e9be056b3085064d595e9a85eed36d823414590
TOP LEFT,User-facing product copy in the Chess UI sample.,TOP LEFT,translated,,,tx1_y6vopua2pm3biidul42fxnfvwm,row1_oyv3vks4oyeutlroabky4csxo4,message,,rules/src/portrait_harness.rs:36:26,rev1_618150cbc6e6cde8a91dd3b5eec34a1b1a2fc273b6aad2d548802515dea67f4e
1024 × 1536,User-facing product copy in the Chess UI sample.,1024 × 1536,translated,,,tx1_gykaeaesly337zig2jk64nkasq,row1_xl54ijnn65egroutonm77jmiwi,message,,rules/src/portrait_harness.rs:45:26,rev1_06860545ea61763e5833b2dd82f0068f4551dd1bae8001ef2dad1726709d280f
"Portrait canvas, 1024 by 1536 logical pixels",User-facing product copy in the Chess UI sample.,"Portrait canvas, 1024 by 1536 logical pixels",translated,,,tx1_ti3fudbk2hfu44hqkt4i3oyecu,row1_b3noxsiiucsdext6erqpsoi7wa,message,,rules/src/portrait_harness.rs:49:56,rev1_f230c530e25ac84548385400dff45d968f241fdb0148d1e7fc09ac3032236a2a
BOTTOM RIGHT,User-facing product copy in the Chess UI sample.,BOTTOM RIGHT,translated,,,tx1_2t7vdlw5pz5xzcjb6wuugqu7zi,row1_kehh6v42nipzlh7lxy2oom2p7y,message,,rules/src/portrait_harness.rs:58:26,rev1_8028cb30c0069537be1e24041f4a32fe69f4413366a685e73753de7705dc45a6
Main content,User-facing product copy in the Chess UI sample.,Main content,translated,,,tx1_pwp355pxxh45mkpu5mxm2cnuvq,row1_v3qod6ydeimroyvbgwbjwpcq64,message,,rules/src/portrait_viewport.rs:32:59,rev1_9e1eb990fe205468ee3f8a73413cccb8b50e834b1da655e2eede767c4624bb66
RETURN,User-facing product copy in the Chess UI sample.,RETURN,translated,,,tx1_5jbb3el5fba77qqepx7mks5aaq,row1_qifrrpnr7kexe7agecjyqtopp4,message,,rules/src/return_button.rs:46:53,rev1_551dfdb4cc0c10e6696656dde8fd571264665f37346094eb8c4a41604e4d0092
Chess UI review pages,User-facing product copy in the Chess UI sample.,Chess UI review pages,translated,,,tx1_ir4eapd5j5lwjzon6jl6kgisuq,row1_dbptiomlvmvkqnnpmg56rnigq4,message,,rules/src/review_navigation.rs:75:65,rev1_d843cd63cc18637d5fa9fd5583d94420261e5b12e3d020cb240d0fd92153213c
Resolution,User-facing product copy in the Chess UI sample.,Resolution,translated,,,tx1_bianqqqp3rpk5g7f53e54h4cmq,row1_hak7kbb25evti72hyewdtntsum,message,,rules/src/select_harness.rs:24:30,rev1_f2c21556f173be2fe4588fb638fa81fcb7a950951b3ec8b56ac7a6aedbd7e251
Display Mode,User-facing product copy in the Chess UI sample.,Display Mode,translated,,,tx1_svm2a5pwn3dbwdnwper56dwzmm,row1_lbcpwkyjekxh2vz7embr7aqiwe,message,,rules/src/select_harness.rs:35:30; rules/src/setting_row_harness.rs:38:50,rev1_386c267f9eee2789909128ac8de4423487a5b7fd4e0f48ba347f6a098bbf97e8
Selection changes: 0,User-facing product copy in the Chess UI sample.,Selection changes: 0,translated,,,tx1_55yqvgrl32wui6ifxwjavuws2m,row1_csdt5h7keeqikinkraejktg7oy,message,,rules/src/select_harness.rs:42:37,rev1_8cf80c28ae56bcf7336b42a65cf93cfde31e80292d82e434ec38e2aa1429a971
Change resolution from parent,User-facing product copy in the Chess UI sample.,Change resolution from parent,translated,,,tx1_qozfsokmgqzz6gdqbhucbtki6a,row1_d7uf23owndtwhkfae5nilw7yau,message,,rules/src/select_harness.rs:53:18,rev1_d04174cfbd5532e859dad497603d80ae53ae02329d63dd218d9121740d95de71
Borderless,User-facing product copy in the Chess UI sample.,Borderless,translated,,,tx1_xdt34j4pv6hw2hgs2qsz7smvse,row1_oneg6sqxqhy3u4oqgsrkmizi7a,message,,rules/src/setting_row_harness.rs:43:25,rev1_f3d69057e75fcecd7e67839a4edc522ed7e07dcd272964b4de06777999aea5c7
We upload crash reports to Unity Diagnostics.,User-facing product copy in the Chess UI sample.,We upload crash reports to Unity Diagnostics.,translated,,,tx1_2roirrdlv3rgch3oduwyko6iua,row1_svosfcnpuwpxgsaizs4j633rbq,message,,rules/src/toggle_control.rs:47:41,rev1_9f65d2e6150a87e1c5a9f4f1323d993f02bcba54be7624e25b5641c57346b1cc
i,User-facing product copy in the Chess UI sample.,i,translated,,,tx1_lqlp3tltrgsoee73jq2fcswfly,row1_qtwk4vkitjfkhburgojvbmjtc4,message,,rules/src/toggle_control.rs:128:17,rev1_177304958be5e67bf8539ac163913759f2c2f8a425935bc25aa719ccc6694811
About crash report uploads,User-facing product copy in the Chess UI sample.,About crash report uploads,translated,,,tx1_go2tdt2xa4qarndt6mvzzqxqse,row1_j43kjrdu7y5ivtxtidar4zbrgm,message,,rules/src/toggle_control.rs:132:38,rev1_f977ed89cfee595354d7220612a9e4a8cda84fb7c0382fa65e28984b17e7a1bb
VSync,User-facing product copy in the Chess UI sample.,VSync,translated,,,tx1_oxept7izt2pgl4nskbrut6tnwi,row1_mngojxf3jnv7iz2kaulhx4t4la,message,,rules/src/toggle_harness.rs:26:30,rev1_ce7552c1eda6b9a76e79059756dc71c14cec3a48f0c6e7a2fa16d81e0c126f58
Screenshake,User-facing product copy in the Chess UI sample.,Screenshake,translated,,,tx1_revil47cendyovjevmauucfcdm,row1_pzcn6yzzctrhd3i7ezjdqhql6a,message,,rules/src/toggle_harness.rs:39:30,rev1_69f8208a7d8ddb24ad108bfac18131d04be8c0ebadcb181a2b6b7e4da5a400ce
Screen shake,User-facing product copy in the Chess UI sample.,Screen shake,translated,,,tx1_upppihgkdqm522dzs6wejb3una,row1_zj6tf6e5k3anjubc6pstlwlonu,message,,rules/src/toggle_harness.rs:45:23,rev1_3160b856cce24935af1eff3ccd92db5e8e8d500b1e4f6ffc8415ef8b9612bc6b
VSync changes: {changes},User-facing product copy in the Chess UI sample.,VSync changes: {changes},translated,,changes,tx1_ohg4lsnw4kvrswarmlod2wx6xa,row1_saahxaslyjvyaiclf6xfpzlp6i,message,,rules/src/toggle_harness.rs:51:37,rev1_bf99328f8736df095be8bc53043e71163742465e10b436ab438960b576f37340
Change VSync from parent,User-facing product copy in the Chess UI sample.,Change VSync from parent,translated,,,tx1_cgxkounjoxlw6hiqmcze5c7v74,row1_d2l25ofir52jr2d5te44xvu2ki,message,,rules/src/toggle_harness.rs:63:18,rev1_19068b3a256b1db19f11e70cb2e640bb09d60965bbd3d72570ccb629a6ecef3f
{volume_percent} percent,User-facing product copy in the Chess UI sample.,{volume_percent} percent,translated,,volume_percent,tx1_3hy2x2iq2ckfz4b36s37a3gfke,row1_uy3kjdmahk7shwsjboifmzmrdy,message,,rules/src/volume_control.rs:43:23,rev1_76210614378c566c0280b40803a194ece5b8c4ec255c50b727ba1a802168928a
{volume_percent}%,User-facing product copy in the Chess UI sample.,{volume_percent}%,translated,,volume_percent,tx1_wcp3kykq2nhorntxz37l7dyvdm,row1_3lrc7xo4ybpqdqmplyvz6tonay,message,,rules/src/volume_control.rs:92:30,rev1_29d7a165f69c07ce13448e4d0afa0db1a3f4d758f86de75c08b5678bc347542f
Master Volume,User-facing product copy in the Chess UI sample.,Master Volume,translated,,,tx1_qzqum4lfxf5lxiahjknn7q23xq,row1_m3x2t4wybaop2hd3htcur6masq,message,,rules/src/volume_harness.rs:26:18,rev1_606becfb4f7a70e18e73ea977d666557fdaab9e04576faa95aa255a4d9f6dc37
Minimum,User-facing product copy in the Chess UI sample.,Minimum,translated,,,tx1_kmjofvb2z6hve6e7ngi6ypekju,row1_os5biuqzvls5247ykhi3f2a2wu,message,,rules/src/volume_harness.rs:40:18,rev1_b01682ad544e0bf4e0fbf884b22a2534aa7d986fcaa27e4ab7dc0781533037e4
Maximum,User-facing product copy in the Chess UI sample.,Maximum,translated,,,tx1_kojsxkqlgl7244f3jysqzoghzi,row1_lbzjombpcluurpem4leuqlqonu,message,,rules/src/volume_harness.rs:47:18,rev1_f3a4275d58ab5e7b550d5eaac767f0d880f1b637b4d09115dc10a81377391497
Volume changes: {changes},User-facing product copy in the Chess UI sample.,Volume changes: {changes},translated,,changes,tx1_5h37hzdukz7yr3fvrsauh5xa3q,row1_q5w5aaz2oyqgln5pc4nthfycji,message,,rules/src/volume_harness.rs:53:37,rev1_7dbca8f7566d112cef6b9254ece0a283693b50967ceeb0a7702e2a6ceb86c1b2
Change volume from parent,User-facing product copy in the Chess UI sample.,Change volume from parent,translated,,,tx1_4sflgnsflynxudlh3qr4yz7jdi,row1_6bjrayyy377e5offvhba46f2zq,message,,rules/src/volume_harness.rs:65:18,rev1_8a4e918030079f065607e6affb01507c992ef2525f40c03e848a93e6a0bb977f
